Drone ID,Application,Drone Size,Drone Model,Manufacturer,Propeller Count,Max Carry Weight (kg),Actual Carry Weight (kg),Payload Type,Payload Description,Altitude (meters),Flight Duration (minutes),Distance Flown (km),Operator ID,Flight Date,Battery Remaining (%),GPS Accuracy (meters),Wind Speed (m/s),Obstacles Encountered,Flight Status,Regulatory Approval ID,Notes
D001,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.5,Package,"Small consumer goods",50,25,8,OP001,2025-03-20,85,2.1,3.5,No,Completed,REG-2025-ABC-123,"Urban delivery, light package, good weather"
D002,Infrastructure Inspection,Large,Inspecta X,SkyView Inc.,6,15,8,"Camera, Sensor","High-resolution camera, thermal sensor",120,45,15,OP002,2025-03-21,68,1.8,6.2,Yes,Completed,REG-2025-DEF-456,"Bridge inspection, carried specialized equipment"
D003,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18,"Liquid Tank",Pesticide solution,30,30,10,OP003,2025-03-22,40,3.5,7.8,Yes,Completed,REG-2025-GHI-789,"Field spraying, full tank, moderate wind"
D004,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Lightweight action camera",80,20,5,OP004,2025-03-23,92,1.2,2.1,No,Completed,REG-2025-JKL-012,"Recreational use, clear skies"
D005,Surveillance,Medium,Watcher Pro,SecureTech,4,7,3,"Camera, Sensor","Infrared camera, motion detection sensor",100,60,12,OP005,2025-03-24,55,2.5,4.9,No,Completed,REG-2025-MNO-345,"Security patrol, nighttime operation"
D006,Surveying,Medium,MapMaker Z,GeoSurv,6,10,6,"LiDAR System","Light Detection and Ranging system",70,35,9,OP006,2025-03-25,78,1.5,3.1,No,Completed,REG-2025-PQR-678,"Land mapping, precise data collection"
D007,Search and Rescue,Large,Guardian SR,RescueFly,8,12,5,"Camera, Beacon","Thermal camera, emergency locator beacon",150,50,18,OP007,2025-03-26,62,2.8,5.5,Yes,Completed,REG-2025-STU-901,"Searching for missing person in forested area"
D008,Film Production,Large,CineDrone X,FilmCraft,8,18,10,Camera,"Professional cinema camera with gimbal",60,40,7,OP008,2025-03-27,70,2,4.2,No,Completed,REG-2025-VWX-234,"Filming aerial shots for a movie"
D009,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2,1.2,Sensor,"Air quality sampling device",40,28,6,OP009,2025-03-28,88,1.1,2.7,No,Completed,REG-2025-YZA-567,"Collecting air pollution data over urban area"
D010,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3,1.5,Scanner,"Barcode and RFID scanner",15,30,4,OP010,2025-03-29,75,0.9,1.5,No,Completed,REG-2025-BCD-890,"Indoor inventory management"
D011,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1,Package,"Small documents",60,18,5,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,"Express document delivery"
D012,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.5,Camera,"High-definition camera",90,38,12,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,"Routine bridge structure assessment"
D013,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,"Multispectral camera for plant health analysis",45,22,7,OP003,2025-03-17,80,1,3.3,No,Completed,REG-2025-KLM-789,"Assessing crop health in a small farm"
D014,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,"Wide-angle camera for property showcasing",75,25,4,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,"Taking aerial photos of a residential property"
D015,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55,16,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,"Inspecting high-voltage power lines"
D016,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,2.8,Camera,"Real-time video camera for traffic analysis",85,40,10,OP005,2025-03-14,72,1.9,4.5,No,Completed,REG-2025-TUV-678,"Monitoring traffic flow on a major highway"
D017,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,9,Camera,"High-resolution camera for blade damage assessment",160,65,20,OP002,2025-03-13,45,3.2,8.5,Yes,Completed,REG-2025-WXY-901,"Inspecting wind turbine blades"
D018,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11,7.5,"Camera, GPS","High-resolution camera, GPS for site mapping",55,30,8,OP006,2025-03-12,81,1.4,2.8,No,Completed,REG-2025-ZAB-234,"Surveying progress on a construction project"
D019,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,1,Camera,"Compact camera for capturing event footage",95,32,6,OP004,2025-03-11,90,1.7,3.9,No,Completed,REG-2025-CDE-567,"Recording an outdoor music festival"
D020,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10,4,Package,"Medical supplies",70,50,25,OP011,2025-03-10,58,2.6,5.1,No,Completed,REG-2025-FGH-890,"Delivering supplies to a remote island village"
D021,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14,7,"Camera, Sensor","Infrared camera, gas leak detector",40,58,18,OP002,2025-03-09,73,2.3,6.8,Yes,Completed,REG-2025-IJK-123,"Inspecting oil and gas pipelines"
D022,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.3,Sensor,"Soil moisture and nutrient sensors",35,26,9,OP003,2025-03-08,82,1.2,3.7,No,Completed,REG-2025-LMN-456,"Collecting data for precision farming"
D023,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.7,Camera,"Low-light camera for observing wildlife",100,45,15,OP009,2025-03-07,65,1.9,4.1,Yes,Completed,REG-2025-OPQ-789,"Monitoring animal populations in a nature reserve"
D024,Emergency Response,Large,FirstResponder,RescueFly,8,13,6,"Camera, Speaker","Thermal camera, loudspeaker for communication",130,48,11,OP007,2025-03-06,52,2.7,5.9,Yes,Completed,REG-2025-RST-012,"Assessing damage after a natural disaster"
D025,Product Photography,Small,StudioShot,PhotoFly,4,1,0.4,Camera,"High-resolution camera for product showcasing",50,15,3,OP004,2025-03-05,98,0.8,1.9,No,Completed,REG-2025-UVW-345,"Taking aerial product shots for advertising"
D026,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,6,Package,"Fragile electronics",45,22,7,OP001,2025-03-04,70,2.3,4,No,Aborted,REG-2025-XYZ-678,"Overweight package, flight aborted"
D028,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,25,"Liquid Tank",Fertilizer solution,25,35,12,OP003,2025-03-02,35,4,8.1,Yes,"Landed Unexpectedly",REG-2025-DEF-234,"Empty tank, unexpected landing in field"
D030,Surveillance,Medium,Watcher Pro,SecureTech,4,7,3.5,"Camera, Sensor","Night vision camera, audio recorder",90,,11,OP005,2025-02-28,60,2.7,4.7,No,Completed,REG-2025-JKL-890,"Missing flight duration"
D031,Surveying,Medium,MapMaker Z,GeoSurv,6,10,6.8,"LiDAR System","Advanced LiDAR system",65,40,10,OP006,2025-02-27,88,1.3,3,No,Completed,REG-2025-MNO-123,
D032,Search and Rescue,Large,Guardian SR,RescueFly,8,12,5.5,"Camera, Beacon","Enhanced thermal camera, strobe light",140,55,20,OP007,2025-02-26,70,3,5.8,Yes,Completed,REG-2025-PQR-456,"Night search operation"
D033,Film Production,Large,CineDrone X,FilmCraft,8,18,19,Camera,"High-end cinema camera with multiple lenses",50,38,6,OP008,2025-02-25,65,2.1,4.5,No,Aborted,REG-2025-STU-789,"Exceeded max carry weight, aborted takeoff"
D034,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2,1,Sensor,"Particulate matter sensor",30,30,7,OP009,2025-02-24,95,1,2.5,No,Completed,REG-2025-VWX-012,
D035,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3,2,Scanner,"3D barcode scanner",20,25,3,OP010,2025-02-23,80,0.7,1.2,No,Completed,REG-2025-YZA-345,
D036,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Perishable goods",70,20,6,OP011,2025-02-22,98,1.5,3.1,No,Completed,REG-2025-BCD-678,
D037,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8,4,Camera,"High-zoom camera",85,42,14,OP002,2025-02-21,55,2.4,6,Yes,Completed,REG-2025-EFG-901,
D038,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.9,Camera,"Thermal imaging camera for irrigation assessment",40,24,8,OP003,2025-02-20,85,1.1,3.5,No,Completed,REG-2025-HIJ-234,
D039,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.7,Camera,"360-degree camera",80,30,5,OP004,2025-02-19,91,1.8,2.3,No,Completed,REG-2025-KLM-567,
D040,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5.2,"Camera, Sensor","UV camera, acoustic sensor",105,60,17,OP002,2025-02-18,48,3,7.5,Yes,Completed,REG-2025-NOP-890,
D041,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,0.9,Package,Books,75,15,4,OP012,2025-04-01,91,1.6,2.8,No,Completed,REG-2025-IJK-789,
D042,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.2,Camera,"Zoom lens camera",105,40,13,OP002,2025-04-02,63,2,5.1,Yes,Completed,REG-2025-LMN-012,
D043,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,16,"Liquid Tank","Organic fertilizer",35,32,11,OP003,2025-04-03,48,3,7,No,Completed,REG-2025-OPQ-345,
D044,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Infrared camera",90,18,6,OP004,2025-04-04,95,1,1.9,No,Completed,REG-2025-RST-678,
D045,Surveillance,Medium,Watcher Pro,SecureTech,4,7,4.1,Sensor,"Noise detection sensor",110,55,10,OP005,2025-04-05,58,2.3,4.5,No,Completed,REG-2025-UVW-901,
D046,Surveying,Medium,MapMaker Z,GeoSurv,6,10,7.3,GPS,"High-precision GPS module",60,38,8,OP006,2025-04-06,79,1.4,3.2,No,Completed,REG-2025-XYZ-234,
D047,Search and Rescue,Large,Guardian SR,RescueFly,8,12,4.8,Speaker,Megaphone,145,48,17,OP007,2025-04-07,65,2.6,5.3,Yes,Completed,REG-2025-ABC-567,
D048,Film Production,Large,CineDrone X,FilmCraft,8,18,11.5,Camera,"Stabilized camera rig",55,42,9,OP008,2025-04-08,72,1.9,4,No,Completed,REG-2025-DEF-890,
D049,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2,0.9,Sensor,"Temperature and humidity sensor",38,25,5,OP009,2025-04-09,89,1.2,2.5,No,Completed,REG-2025-GHI-123,
D050,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3,1.8,"RFID Reader","Long-range RFID reader",18,28,3,OP010,2025-04-10,77,0.8,1.3,No,Completed,REG-2025-JKL-456,
D051,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Birthday gift",62,17,4.5,OP012,2025-04-11,93,1.5,2.7,No,Completed,REG-2025-MNO-789,
D052,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Neutral density filters",84,20,5.5,OP004,2025-04-12,90,1.1,2.1,No,Completed,REG-2025-OPQ-012,
D053,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,16.8,"Liquid Tank","Water for testing",33,30,9.5,OP003,2025-04-13,46,3.2,7.1,Yes,Completed,REG-2025-RST-345,
D054,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.8,Package,"Office supplies",70,23,7.5,OP013,2025-04-14,86,1.9,3.4,No,Completed,REG-2025-UVW-678,
D055,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Polarizing filter",89,22,6.2,OP004,2025-04-15,97,1.4,2.4,No,Completed,REG-2025-XYZ-901,
D056,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.3,Camera,"Infrared camera for heat detection",102,39,12.5,OP002,2025-04-16,61,2.5,5.7,Yes,Completed,REG-2025-ABC-234,
D057,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.2,"Liquid Tank","Plant growth hormone",29,34,10.5,OP003,2025-04-17,43,3.4,7.6,No,Completed,REG-2025-DEF-567,
D058,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Small appliances",65,21,6.8,OP013,2025-04-18,89,1.7,3.1,No,Completed,REG-2025-GHI-890,
D059,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Wide-angle lens",81,18,5.8,OP004,2025-04-19,94,1.2,2.2,No,Completed,REG-2025-JKL-123,
D060,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.1,Sensor,"Acoustic emission sensor",107,42,13.2,OP002,2025-04-20,67,2.2,5.2,Yes,Completed,REG-2025-MNO-456,
D061,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Medicine",72,19,5.2,OP011,2025-04-21,96,1.4,2.8,No,Completed,REG-2025-PQR-789,
D062,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Time-lapse camera",86,23,6.5,OP004,2025-04-22,91,1.3,2.5,No,Completed,REG-2025-STU-012,
D063,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank","Nutrient solution",31,33,10.2,OP003,2025-04-23,41,3.3,7.4,Yes,Completed,REG-2025-VWX-345,
D064,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Consumer electronics",69,24,7.1,OP013,2025-04-24,87,1.8,3.3,No,Completed,REG-2025-XYZ-678,
D065,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Action camera",83,17,5.9,OP004,2025-04-25,99,1,2,No,Completed,REG-2025-ABC-901,
D066,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.7,Camera,"High-resolution still camera",105,40,12.8,OP002,2025-04-26,63,2.4,5.9,Yes,Completed,REG-2025-DEF-234,
D067,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank","Defoliant",27,36,11.5,OP003,2025-04-27,39,3.6,7.9,Yes,Completed,REG-2025-GHI-567,
D068,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,"Documents",71,26,8.2,OP013,2025-04-28,84,2,3.6,No,Completed,REG-2025-JKL-890,
D069,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Zoom lens",87,21,6.8,OP004,2025-04-29,92,1.5,2.6,No,Completed,REG-2025-MNO-123,
D070,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.3,Sensor,"Magnetic particle inspection sensor",111,43,13.5,OP002,2025-04-30,69,2.1,5.4,Yes,Completed,REG-2025-OPQ-456,
D071,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5,Camera,UV inspection camera,100,58,15,OP002,2025-04-20,52,2.8,6.8,Yes,Completed,REG-2025-VWX-789,
D072,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,3.1,Camera,"License plate recognition camera",80,35,9,OP005,2025-04-21,75,1.7,4.2,No,Completed,REG-2025-XYZ-012,
D073,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,8.5,Camera,"High-resolution video camera",155,70,22,OP002,2025-04-22,40,3.1,8,Yes,Completed,REG-2025-ABC-345,
D075,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.8,Camera,"360-degree video camera",90,28,5,OP004,2025-04-24,92,1.9,3.7,No,Completed,REG-2025-GHI-901,
D076,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10,3.5,Package,"Emergency rations",65,55,28,OP011,2025-04-25,60,2.5,4.8,No,Completed,REG-2025-JKL-234,
D077,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14,6.5,Sensor,"Ultrasonic leak detector",35,60,20,OP002,2025-04-26,78,2.2,6.5,Yes,Completed,REG-2025-MNO-567,
D078,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.1,Sensor,"Leaf area index sensor",42,24,8,OP003,2025-04-27,87,1.3,3.9,No,Completed,REG-2025-OPQ-890,
D079,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.6,Camera,Trail camera,105,50,16,OP009,2025-04-28,68,1.7,4.3,Yes,Completed,REG-2025-RST-123,
D080,Emergency Response,Large,FirstResponder,RescueFly,8,13,5.9,"First Aid Kit","Basic medical supplies",135,45,10,OP007,2025-04-29,55,2.9,5.7,Yes,Completed,REG-2025-UVW-456,
D081,Product Photography,Small,StudioShot,PhotoFly,4,1,0.5,Camera,"Macro lens camera",48,16,4,OP004,2025-04-30,96,0.9,2.1,No,Completed,REG-2025-XYZ-789,
D082,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,,Package,Documents,65,20,6,OP012,2025-05-01,80,2,3.8,No,Completed,REG-2025-ABC-012,
D083,Infrastructure Inspection,Large,Inspecta X,SkyView Inc.,6,15,9.1,"Camera, Sensor","Thermal and visual camera",118,48,14,OP002,2025-05-02,71,1.6,5.3,Yes,Completed,REG-2025-DEF-345,
D084,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,22,"Liquid Tank","Water for irrigation testing",30,28,9,OP003,2025-05-03,38,3.3,7.5,Yes,Aborted,REG-2025-GHI-678,"Overweight, aborted takeoff"
D085,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,-0.1,Camera,"Fisheye lens camera",85,15,3,OP004,2025-05-04,99,1.1,2,No,Completed,REG-2025-JKL-901,"Invalid weight"
D086,Surveillance,Medium,Watcher Pro,SecureTech,4,7,3,Camera,"Low-light video camera",105,,11,OP005,2025-05-05,62,2.6,4.9,No,Completed,REG-2025-MNO-234,"Missing flight duration"
D087,Surveying,Medium,MapMaker Z,GeoSurv,6,10,6.5,"LiDAR System","Compact LiDAR unit",75,33,7,OP006,2025-05-06,81,1.2,3.5,No,Completed,REG-2025-OPQ-567,
D088,Search and Rescue,Large,Guardian SR,RescueFly,8,12,5.1,"Communication Device","Two-way radio repeater",140,52,19,OP007,2025-05-07,67,2.7,5.6,Yes,Completed,REG-2025-RST-890,
D089,Film Production,Large,CineDrone X,FilmCraft,8,18,20,Camera,"VR camera rig",58,35,5,OP008,2025-05-08,78,2,4.3,No,"Landed Unexpectedly",REG-2025-UVW-123,"Battery failure"
D090,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2,1.1,Sensor,"Ozone sensor",32,27,6,OP009,2025-05-09,90,1.4,2.6,No,Completed,REG-2025-XYZ-456,
D091,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3,1.9,"Weight Sensor","Precision weight scale",16,29,4,OP010,2025-05-10,73,0.9,1.4,No,Completed,REG-2025-ABC-789,
D092,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1,Package,"Small documents",60,18,5,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,
D093,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.5,Camera,"High-definition camera",90,38,12,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,
D094,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,"Multispectral camera for plant health analysis",45,22,7,OP003,2025-03-17,80,1,3.3,No,Completed,REG-2025-KLM-789,
D095,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,"Wide-angle camera for property showcasing",75,25,4,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,
D096,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55,16,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,"Inspecting high-voltage power lines"
D097,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,2.8,Camera,"Real-time video camera for traffic analysis",85,40,10,OP005,2025-03-14,72,1.9,4.5,No,Completed,REG-2025-TUV-678,"Monitoring traffic flow on a major highway"
D098,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,9,Camera,"High-resolution camera for blade damage assessment",160,65,20,OP002,2025-03-13,45,3.2,8.5,Yes,Completed,REG-2025-WXY-901,"Inspecting wind turbine blades"
D099,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11,7.5,"Camera, GPS","High-resolution camera, GPS for site mapping",55,30,8,OP006,2025-03-12,81,1.4,2.8,No,Completed,REG-2025-ZAB-234,"Surveying progress on a construction project"
